Country Name,"CO2 emissions (metric tons per capita),2014",2015,2016,2017,2018,2019
Saudi Arabia,19.52,16.21,16.3,19.4,16.92,16.85
Australia,15.38,17.61,16.2,16.5,16.75,15.83
United States,16.5,15.98,15,15.7,17.5,15.53
Canada,15.11,19.02,14.9,16.9,14.67,15.32
South Korea,11.57,11.83,11.6,13.2,11.78,11.58
Russian Federation,11.8,11.71,9.9,12.3,12.18,10.19
Japan,9.53,9.8,9,10.4,9.25,8.99
Germany,8.88,9.36,8.9,9.7,9.06,8.93
Poland,7.51,7.54,7.7,8.4,8.29,7.34
South Africa,8.98,9.5,7.4,8.2,9.18,7.77
Islamic Republic of Iran,8.28,7.92,7.1,8.3,7.73,6.98
China,7.54,7.47,6.4,7.7,6.18,6.59
United Kingdom,6.49,6.01,5.6,5.7,7.96,5.99
Italy,5.27,5.97,5.4,6.1,6.71,5.45
France,4.57,5.03,4.5,5.2,5.75,4.37
Turkey,4.91,4.47,4.2,5.3,4.1,4.1
Mexico,3.86,3.58,3.6,3.9,3.91,3.66
Brazil,2.59,2.39,2,2.4,2.15,2.17
Indonesia,1.81,1.93,1.7,1.9,1.81,1.72
India,1.73,1.85,1.6,1.8,1.64,1.58
